기업명,공고명,요약,업무형태
마텔라,[패션브랜드] 콘텐츠 브랜딩 마케터,글로벌 SNS 콘텐츠 기획·제작,출근-재택 혼합
주식회사 패리티,[패리티] 제품 디자이너 (생활/패션 잡화),제품 디자이너,상시 출근
마이가다이내믹스 주식회사,펫 전문 라이브 커머스 쇼호스트 영입,"라이브 커머스 종주국의 압도적인 노하우,  한국 펫 비즈니스의 새로운 기준을 만듭니다.",상시 출근
SAZO,Operations Senior Associate,크로스보더 이커머스 운영 담당자,상시 출근
SAZO,Operations Manager,크로스보더 이커머스 운영 관리자,출근-재택 혼합
하이퍼리즘,[경영지원] Business Operations,"경영지원, 조직문화, PR",상시 출근
(주)디엔소프트,SaaS 백엔드 테크 리드,Node.js 기반 SaaS 서비스 백엔드 개발 및 유지보수,상시 출근
딥세일즈,B2B 세일즈 인턴,리드 데이터 및 캠페인 운영,출근-재택 혼합
주식회사 패리티,"[패리티] 잡화 디자이너 (가방, 패션)",잡화 디자이너,상시 출근
주식회사 패리티,[패리티] 콘텐츠 마케터 (3년 이하),콘텐츠 마케터,상시 출근
주식회사 패리티,[패리티] 이커머스 MD (5년 이하),이커머스 MD,상시 출근
에이아이브이와이(AIVY),AI 에이전트 웨어러블 디바이스 HW 개발자 채용,"회로설계, 오디오 설계, HW프로토타입 제작 및 디버깅",상시 출근
Concentrix,AI 데이터 및 Agent 엔지니어,3년 ~ 10년,상시 출근
슈퍼포우,재무·경리 담당자 (자체기장·결산),"더존·위하고 자체기장 | 부가세·법인세 신고 | 다법인 회계, 회계사 대표와 함께  (45",상시 출근
슈퍼포우,아마존·D2C 그로스 매니저,Amazon·Meta 광고 직접 운영 | 미국 펫푸드 시장 풀퍼널 그로스,상시 출근
슈퍼포우,콘텐츠 크리에이터 (영상 출연·기획·제작),한/영 SNS·광고 콘텐츠 직접 출연 및 제작 | 펫 브랜드 | 한국·미국 시장,상시 출근
주식회사 패리티,[패리티] 이커머스 마케팅 팀장 (팀 리더),이커머스 마케팅,상시 출근
주식회사 패리티,[패리티] 브랜드 커뮤니케이션 PR (파트 리더),브랜드 커뮤니케이션,상시 출근
아로마티카,CEO OFFICE 인턴 (정규직 전환형),전략 과제 추진 및 프로세스 최적화,상시 출근
(주)올자연,콘텐츠 마케팅 실무 담당자,sns운영 및 콘텐츠 마케터,상시 출근
컬리,뷰티 MD 운영지원 담당자 (계약직),뷰티 MD 운영지원 담당자 (계약직),상시 출근
