기업명,그룹사,기업종류,공고명,직무키워드,학력,경력구분,근무지
신한투자증권(주),신한금융지주회사그룹,대기업,"대학생 체험형 인턴사원 공개채용_기업분석부(IT, 해외주식팀)","문서작성, 자료입력, 기업분석, 증권사",대학교(4년)↑,경력무관 · 인턴직,서울 영등포구
신한투자증권(주),신한금융지주회사그룹,대기업,대학생 체험형 인턴사원 공개채용_기업금융센터,"사무행정, PM(프로젝트매니저), 기업금융, 기업분석, 재무분석",대학교(4년)↑,경력무관 · 인턴직,서울 영등포구
신한투자증권(주),신한금융지주회사그룹,대기업,대학생 체험형 인턴사원 공개채용_IPO본부,"IPO, 리서치, 위험분석, 투자분석, 증권사",대학교(4년)↑,경력무관 · 인턴직,서울 영등포구
신한투자증권(주),신한금융지주회사그룹,대기업,대학생 체험형 인턴사원 공개채용_IB종합금융부,"사무행정, 기업분석, 재무분석, 투자분석, 증권사",대학교(4년)↑,경력무관 · 인턴직,서울 영등포구
(재)한국통계진흥원,국가데이터처그룹,공사·공기업,"2026년 제8차 한국통계진흥원 직원 채용 공고(정규직, 기간제)","세무신고, 총무, 사무행정, 시설관리, 경영지원",대학교(4년)↑,신입 · 경력 · 정규직 외,서울 강남구
AXA손해보험㈜,,대기업,[AXA손해보험] 혁신전략기획팀 IT Planning Associate,"사무행정, 경영지원, 예산관리, 조직관리, 금융사무","대학(2,3년)↑",신입 · 계약직,서울 용산구
태형리싸이클링(주),태형물산그룹,대기업,태형리싸이클링(주) 각 사업소 신입 및 경력사원 모집,"유지보수, 정보보안, 더존, 4대보험, 외부감사",학력무관,경력무관 · 정규직,경북 김천시 외
(주)모나미코스메틱,모나미그룹,대기업,국내영업팀/생산팀/관리팀/상품기획팀/생산지원팀 구매파트/품질경영팀 QC파트 채용,"기술영업, 영업관리, 영업직, 영업마케팅, 영업전략",고졸↑,신입 · 경력 · 정규직,경기 용인시 수지구 외
(주)농심,농심그룹,코스피,농심 공무직 신입사원 채용(아산-기관),"에너지관리, 공조냉동기사, 공조설비, 설비보수","대학(2,3년)↑",신입 · 정규직,충남 아산시
아고다트레블오퍼레이션스코리아(유),,외국계,Support Associate 서울채용,"사무직, 문서작성, 사무보조, 전화응대, OA",학력무관,경력무관 · 계약직,서울 중구
한국바스프(주),한국바스프그룹,대기업,한국바스프(주) 예산공장 현장 생산팀 교대근무 신입사원 채용,"배합, 플라스틱, 압출기, 제조",고졸↑,신입 · 정규직,충남 예산군
대성히트에너시스(주),대성그룹,,대성히트에너시스(주) 각부문 사원 채용,"기술지원, ERP, Excel, PowerPoint, 영업지원",고졸↑,신입 · 경력 · 정규직 외,충북 음성군 외
효원HM,,,2026년 “효원HM” 경영지원 직원 모집,"전산회계, 관리회계, 기업회계, 자산관리, 전표입력",학력무관,경력무관 · 정규직,부산 강서구 외
