날짜,종가,전일비,시가,고가,저가,거래량
2025.11.24,96700,상승1900,97800,99000,96200,29831172
2025.11.21,94800,하락5800,95600,96800,94500,23103574
2025.11.20,100600,상승4100,100900,102900,99500,25360435
2025.11.19,96500,하락1300,97100,97500,94600,18993346
2025.11.18,97800,하락2800,99800,100900,97500,18684068
2025.11.17,100600,상승3400,99800,101000,99500,17192584
2025.11.14,97200,하락5600,99000,99600,97200,21806342
2025.11.13,102800,하락300,102500,104200,102300,20838741
2025.11.12,103100,하락400,103000,103900,101600,19413497
2025.11.11,103500,상승2900,103700,106000,102000,27742542
2025.11.10,100600,상승2700,98600,101000,97900,23842327
2025.11.07,97900,하락1300,96400,100300,96300,22908083
2025.11.06,99200,하락1400,103700,103800,98800,28655689
2025.11.05,100600,하락4300,101000,102000,96700,44843020
2025.11.04,104900,하락6200,111800,112400,104900,30450281
2025.11.03,111100,상승3600,106900,111500,106500,30110066
2025.10.31,107500,상승3400,105000,108600,103300,54824564
2025.10.30,104100,상승3600,102400,105800,102000,34570017
2025.10.29,100500,상승1000,100200,101000,99100,20899788
2025.10.28,99500,하락2500,100900,101000,99100,20002282
2025.10.27,102000,상승3200,101300,102000,100600,22169970
2025.10.24,98800,상승2300,97900,99000,97700,18801925
2025.10.23,96500,하락2100,96800,98500,96300,18488581
2025.10.22,98600,상승1100,97100,98600,95500,15937611
2025.10.21,97500,하락600,98500,99900,97300,22803830
2025.10.20,98100,상승200,97900,98300,96000,17589756
2025.10.17,97900,상승200,97200,99100,96700,22730809
2025.10.16,97700,상승2700,95300,97700,95000,28141060
2025.10.15,95000,상승3400,92300,95300,92100,21050111
2025.10.14,91600,하락1700,95300,96000,90200,35545235
2025.10.13,93300,하락1100,91300,93400,90700,23883308
2025.10.10,94400,상승5400,94000,94500,92700,35269748
2025.10.02,89000,상승3000,89300,90300,88700,49883028
2025.10.01,86000,상승2100,84900,86200,84700,22039361
2025.09.30,83900,하락300,84600,84900,83400,16319061
2025.09.29,84200,상승900,83300,85000,83200,13069094
2025.09.26,83300,하락2800,85000,85300,82400,24071193
2025.09.25,86100,상승700,84400,86200,84100,19665151
2025.09.24,85400,상승700,84200,85500,83700,18300997
2025.09.23,84700,상승1200,85800,85900,83600,23610263
2025.09.22,83500,상승3800,81500,84000,81100,27529656
2025.09.19,79700,하락800,81100,81200,79600,20898386
2025.09.18,80500,상승2300,79100,80500,78600,25619035
2025.09.17,78200,하락1200,79100,79100,77100,20856317
2025.09.16,79400,상승2900,76900,79500,76700,28218265
2025.09.15,76500,상승1100,77200,77600,75900,19908805
2025.09.12,75400,상승2000,74600,75600,74200,28219678
2025.09.11,73400,상승800,73200,73600,72100,20793501
